"","PROM_GRAL_2018","PROM_GRAL_2019","GEN_ALU","ASISTENCIA_2018"
"1",5.7,6.3,"1",86
"2",5.1,5.3,"1",97
"3",5.3,5.1,"2",97
"4",6.2,6.4,"2",98
"5",5.8,5.6,"2",100
"6",5.6,6,"1",95
"7",4.8,3.7,"1",92
"8",6.2,6.6,"2",99
"9",6,6.2,"1",99
"10",5.6,6,"1",85
"11",5.2,5.7,"2",99
"12",5,5.2,"1",98
"13",5.3,4.2,"1",82
"14",6.8,6.5,"1",96
"15",6.4,5.8,"1",92
"16",6.6,6.6,"2",95
"17",6.3,6.3,"2",94
"18",6.8,6.9,"2",91
"19",6.2,6,"2",97
"20",5,5,"1",88
"21",5.6,5.9,"1",96
"22",6.5,6.3,"2",91
"23",6.4,6.3,"2",95
"24",6.1,6,"2",93
"25",6.9,6.9,"2",94
"26",5.9,6.1,"1",99
"27",5,5,"2",85
"28",5.1,3.8,"1",72
"29",4.9,5.2,"2",90
"30",6.1,5.9,"2",94
"31",5.7,5.5,"1",97
"32",6,5.7,"2",92
"33",5.3,5.1,"1",94
"34",6.2,6.1,"2",78
"35",6.7,6.7,"1",95
"36",5.1,4.9,"1",79
"37",5.7,5.8,"1",99
"38",6.2,6.2,"1",98
"39",6.8,6.7,"2",98
"40",6.3,6.3,"2",100
"41",6.2,5.8,"1",100
"42",5.2,4.3,"2",89
"43",6.4,6.3,"2",93
"44",6.6,6.2,"2",95
"45",6,6,"1",95
"46",5.1,4.8,"2",98
"47",6.4,6.3,"2",96
"48",5,4.8,"2",93
"49",5.3,4.9,"1",95
"50",6.6,6.7,"2",97
"51",6.4,6.4,"2",97
"52",5.2,4.5,"1",98
"53",5.7,5.7,"2",98
"54",5,5.2,"1",86
"55",5.1,4.9,"1",98
"56",6.3,6.2,"2",96
"57",5.6,5.6,"2",97
"58",6.1,6.3,"2",95
"59",5.6,5.8,"1",97
"60",4.7,4.5,"2",85
"61",6.4,5.9,"1",94
"62",5.4,5.2,"2",97
"63",5.8,5.9,"2",95
"64",5.9,6.2,"1",90
"65",5.4,5.2,"1",97
"66",6.5,6.5,"2",100
"67",6.4,6.4,"2",97
"68",5.7,5.2,"2",77
"69",5.6,5.6,"2",97
"70",6.5,6.4,"1",72
"71",6.5,6.6,"2",97
"72",6.5,6.7,"2",97
"73",5.6,5.3,"1",94
"74",5.7,5.5,"2",97
"75",6.1,6.1,"2",93
"76",5.6,4.9,"1",92
"77",6.3,6.5,"2",99
"78",6.4,6.2,"2",98
"79",5.5,6,"2",86
"80",6.1,5.5,"1",97
"81",5.4,5.4,"1",94
"82",6.8,6.9,"1",96
"83",4.6,5.5,"1",97
"84",6.2,6,"1",98
"85",6.7,6.5,"2",98
"86",5.7,5.1,"1",96
"87",5.7,5.7,"2",93
"88",5.5,5,"1",91
"89",4.9,5.3,"1",97
"90",6.2,5.9,"2",99
"91",6.1,5.6,"1",95
"92",5.8,5.9,"2",88
"93",5.6,5.7,"2",96
"94",5.8,6,"1",95
"95",5.3,5,"2",92
"96",6,5.8,"1",90
"97",5.4,5.3,"1",86
"98",5.5,5.7,"2",90
"99",5.1,4.8,"1",96
"100",5.9,5.8,"1",97
"101",6.2,5.5,"2",97
"102",6.2,6.5,"2",90
"103",5.4,5.4,"1",100
"104",5.1,5.7,"2",97
"105",6,6,"2",93
"106",5.3,4.6,"1",98
"107",5.8,4.9,"1",98
"108",4.9,5.3,"1",97
"109",5.1,5.8,"1",82
"110",5.3,4.9,"1",91
"111",5.5,5,"1",98
"112",5.5,5.7,"2",96
"113",5.8,5.3,"2",97
"114",6,5.8,"1",93
"115",5.4,5.1,"1",82
"116",5.4,4.8,"1",95
"117",6.3,6,"2",92
"118",5.7,4.9,"2",96
"119",5.8,5.3,"1",100
"120",5.7,5.6,"1",98
"121",5.5,5,"2",90
"122",5.4,5.5,"2",87
"123",5.8,5.7,"1",57
"124",5.3,5.6,"2",100
"125",5.4,5.4,"2",81
"126",6,5.7,"2",96
"127",5,5.5,"1",83
"128",4.9,4.7,"1",90
"129",5.3,6.6,"1",95
"130",5.8,5.2,"1",95
"131",5.4,5.3,"1",98
"132",6.2,6.3,"2",94
"133",6.1,6,"2",87
"134",5.6,5,"2",90
"135",4.6,5,"2",92
"136",5.2,5.3,"2",95
"137",6.1,5.8,"2",99
"138",5.6,5.4,"2",94
"139",5.9,5.5,"1",91
"140",6.4,6,"2",99
"141",5.1,5.3,"1",94
"142",5.5,4.6,"2",97
"143",6.5,6.4,"2",98
"144",6.9,6.8,"2",93
"145",5.1,5.4,"2",96
"146",6.3,6.1,"2",99
"147",6.3,6.3,"1",94
"148",5.5,5.7,"2",95
"149",5.5,4.9,"2",88
"150",4.5,4.9,"1",55
"151",5.3,5.5,"1",97
"152",5.4,5.2,"1",98
"153",5,5.9,"2",88
"154",5.3,5.5,"2",90
"155",6.1,6,"1",90
"156",5.9,5.9,"1",94
"157",5.7,5.4,"1",92
"158",5.3,5.2,"1",96
"159",4.3,4.5,"2",72
"160",6.4,6.6,"2",95
"161",5.7,6.2,"2",98
"162",6.3,5.9,"2",94
"163",5.4,5.9,"1",95
"164",6.2,6.1,"2",94
"165",6.3,5.9,"1",84
"166",6.7,6,"2",94
"167",6.2,5.4,"2",46
"168",5.1,4.4,"1",93
"169",5.2,5.3,"2",83
"170",6.3,5.8,"2",92
"171",6.1,6.1,"2",95
"172",5.8,4.8,"1",93
"173",5.7,5.3,"2",97
"174",5.4,5.3,"1",99
"175",5.5,5.4,"2",96
"176",4.9,4.3,"2",85
"177",5.8,5.7,"1",90
"178",5.7,5.8,"1",95
"179",6.9,6.7,"1",96
"180",6.2,6.2,"1",93
"181",5.9,5.3,"2",98
"182",4.6,4.2,"1",90
"183",6,5.9,"2",95
"184",6.9,6.9,"1",92
"185",5.7,5.9,"2",93
"186",5.6,5.8,"1",83
"187",5.7,5,"1",100
"188",5.8,5.6,"1",92
"189",5.5,5.5,"1",99
"190",5.8,5.9,"2",96
"191",5.4,4.3,"2",90
"192",5.9,5.9,"1",95
"193",5.7,5.5,"1",96
"194",5.7,5.8,"1",93
"195",5.3,5.2,"1",87
"196",6.6,6.7,"1",99
"197",4.9,3.7,"1",100
"198",5.3,5.8,"2",94
"199",6.8,5.3,"2",92
"200",5.4,5.8,"2",80
"201",5.3,4.9,"2",98
"202",6.7,6.7,"2",96
"203",5.8,5.8,"1",91
"204",5.1,5.1,"1",95
"205",5.9,5.2,"2",94
"206",6.1,5.9,"1",98
"207",6.4,6.4,"2",91
"208",5.5,5.1,"1",95
"209",5.4,6.1,"2",94
"210",5.9,6,"2",88
"211",6.2,6.3,"2",99
"212",5.5,5.7,"1",94
"213",5.8,6,"2",87
"214",5.9,6.3,"2",97
"215",6.1,6.3,"1",93
"216",5.5,6,"1",99
"217",4.9,5.2,"1",98
"218",6.2,6.2,"2",86
"219",6.5,6.3,"2",99
"220",6,5.5,"2",99
"221",6.7,6.8,"2",100
"222",6.6,6.5,"2",78
"223",6.1,6.4,"1",100
"224",5.7,5.4,"2",91
"225",6.7,6.8,"2",99
"226",6.2,6.3,"1",99
"227",5.3,5,"1",93
"228",5.8,5.3,"2",98
"229",5.8,5.6,"1",98
"230",6,4.9,"2",94
"231",5.9,4.8,"2",90
"232",6.3,6.3,"2",100
