"","COD_REG_RBD","RURAL_RBD","GEN_ALU","EDAD_ALU","PROM_GRAL","ASISTENCIA","CIENCIAS"
"1",14,0,2,17,5.6,96,"0"
"2",13,0,2,17,6.7,91,"1"
"3",10,0,2,50,6.5,100,"0"
"4",5,0,1,17,6.7,99,"1"
"5",5,0,1,17,5.6,92,"0"
"6",2,0,1,17,5.8,93,"0"
"7",13,0,2,17,5.9,93,"0"
"8",14,0,2,17,6.4,95,"0"
"9",14,0,1,17,6.2,91,"0"
"10",13,0,2,17,5.8,83,"0"
"11",3,0,2,17,6.1,96,"0"
"12",6,0,2,17,5.8,94,"0"
"13",6,0,2,17,5.6,80,"0"
"14",13,0,2,19,4.7,85,"0"
"15",13,0,1,17,5.3,85,"0"
"16",13,0,2,18,4.7,64,"0"
"17",13,0,2,17,6.5,80,"0"
"18",5,0,1,17,6.8,88,"0"
"19",8,0,2,19,6.4,91,"0"
"20",2,0,2,17,6.9,99,"0"
"21",2,0,2,17,5.5,85,"0"
"22",6,0,1,17,6.6,100,"0"
"23",13,0,2,17,6.5,94,"0"
"24",13,0,1,17,6.8,97,"0"
"25",13,0,1,18,5.4,93,"0"
"26",13,0,2,18,6.5,92,"0"
"27",13,1,1,17,5.9,98,"0"
"28",8,0,1,17,6.2,87,"0"
"29",13,0,2,17,6.3,100,"0"
"30",13,0,1,17,6.8,99,"0"
"31",13,0,2,17,7,92,"0"
"32",13,0,1,18,5.9,95,"0"
"33",8,0,2,17,6.5,89,"0"
"34",9,0,2,17,5.9,91,"0"
"35",13,0,1,18,5.5,92,"0"
"36",8,0,1,17,6.8,98,"0"
"37",13,0,1,17,6.1,92,"0"
"38",7,0,1,17,5.8,73,"0"
"39",13,0,2,17,6.6,92,"0"
"40",3,0,2,17,6,82,"0"
"41",8,0,1,18,5.9,96,"0"
"42",2,0,1,17,5.9,95,"0"
"43",2,0,2,17,6.3,94,"0"
"44",4,0,1,18,5.3,94,"0"
"45",11,0,2,17,6.6,86,"0"
"46",13,0,2,17,5.5,97,"0"
"47",13,0,2,17,6.5,97,"0"
"48",5,0,1,18,5.9,97,"0"
"49",5,0,2,17,6.1,86,"0"
"50",5,0,2,18,5.5,99,"0"
"51",13,0,1,18,5.7,85,"0"
"52",2,0,1,17,5.4,98,"0"
"53",13,0,1,17,5.2,93,"0"
"54",1,0,1,18,5,89,"0"
"55",7,0,1,17,5.9,99,"0"
"56",13,0,2,17,5.8,78,"0"
"57",14,0,2,17,6.1,93,"0"
"58",13,0,2,47,6.1,100,"0"
"59",13,0,2,17,6.2,88,"0"
"60",13,0,2,17,5.6,99,"0"
"61",7,0,1,17,5.9,93,"0"
"62",7,0,1,19,5.9,93,"0"
"63",8,0,1,18,7,90,"0"
"64",4,0,2,18,5.9,97,"0"
"65",13,0,1,17,5.8,99,"0"
"66",13,0,1,17,5.7,90,"0"
"67",5,0,1,18,5,91,"0"
"68",3,0,1,17,5.4,95,"0"
"69",13,0,2,17,6.8,51,"0"
"70",5,0,2,17,6.7,99,"0"
"71",7,0,2,17,6.2,97,"0"
"72",13,0,1,17,5.4,83,"0"
"73",5,0,1,17,5.3,88,"0"
"74",13,0,1,18,5.5,95,"0"
"75",5,0,1,18,5.6,88,"0"
"76",13,0,2,17,5.6,89,"0"
"77",9,0,2,18,5.5,98,"0"
"78",13,0,2,19,5.4,85,"0"
"79",6,0,1,18,5.5,92,"0"
"80",2,0,2,17,6.4,91,"0"
"81",2,0,2,17,6.3,91,"0"
"82",13,0,2,18,5.7,97,"0"
"83",5,0,1,18,5.3,92,"0"
"84",10,0,2,17,5.5,90,"0"
"85",10,0,1,17,6,91,"1"
"86",8,0,1,17,5.7,99,"0"
"87",13,0,1,17,6.3,92,"0"
"88",3,0,1,17,4.9,90,"0"
"89",14,0,2,17,6.4,96,"1"
"90",1,0,2,17,6.4,94,"0"
"91",1,0,1,17,6.6,96,"0"
"92",13,0,2,19,4.9,89,"0"
"93",3,0,1,17,5.6,98,"0"
"94",14,1,2,17,6,81,"0"
"95",9,0,1,17,5.8,100,"0"
"96",13,0,2,17,5.1,91,"0"
"97",13,0,2,17,6.8,95,"0"
"98",7,0,1,17,6,97,"0"
"99",7,0,1,19,5.5,100,"0"
"100",5,0,2,38,6.4,90,"0"
"101",2,0,2,17,5.2,86,"0"
"102",8,0,2,17,5.6,100,"0"
"103",13,0,1,18,6.3,97,"0"
"104",4,0,2,17,5.8,92,"0"
"105",2,0,2,18,6.7,91,"0"
"106",5,0,2,17,6.2,91,"0"
"107",1,0,1,17,6.5,94,"0"
"108",3,0,1,18,5.7,89,"0"
"109",13,0,1,17,5.6,86,"0"
"110",16,0,2,17,5.9,87,"0"
"111",6,0,1,17,4.7,91,"0"
"112",13,0,2,18,5.6,88,"0"
"113",10,0,1,17,7,97,"0"
"114",13,0,2,17,6.2,93,"0"
"115",16,0,2,17,6.4,95,"0"
"116",13,0,2,18,6.9,96,"0"
"117",9,0,1,18,5,89,"0"
"118",4,0,1,17,5.2,96,"1"
"119",13,0,1,17,5.1,92,"0"
"120",15,0,2,17,6.1,87,"0"
"121",8,0,2,17,6.1,97,"0"
"122",8,0,1,17,6,89,"0"
"123",16,0,2,17,6,94,"0"
"124",9,0,2,17,6,94,"0"
"125",9,0,1,17,5.8,94,"0"
"126",16,0,2,19,6.4,99,"1"
"127",13,0,2,18,5.7,91,"0"
"128",6,0,2,17,6.1,91,"0"
"129",5,0,2,19,6.4,99,"0"
"130",4,0,2,17,6.5,92,"0"
"131",9,0,2,18,6.8,99,"0"
"132",13,1,1,17,6.9,97,"0"
"133",13,0,2,17,6.2,99,"0"
"134",5,0,1,17,5,86,"0"
"135",13,0,1,17,7,89,"0"
"136",13,0,2,17,6.7,100,"0"
"137",5,0,2,17,5.8,88,"0"
"138",13,0,1,17,5.8,93,"0"
"139",9,0,2,17,6.6,96,"0"
"140",9,0,1,17,6.1,95,"0"
"141",9,0,1,18,5.4,95,"0"
